pt,int,hz,ppm
436,4640150,8106.86,107.376
437,4639460,8108.33,107.395
438,4638770,8109.8,107.415
439,4638080,8111.27,107.434
440,4637330,8112.74,107.453
441,4634130,8114.21,107.473
442,4630930,8115.67,107.492
443,4627730,8117.14,107.512
444,4624530,8118.61,107.531
445,4621320,8120.08,107.551
446,4618120,8121.55,107.57
447,4614920,8123.01,107.59
448,4611720,8124.48,107.609
449,4608520,8125.95,107.628
450,4605320,8127.42,107.648
451,4602120,8128.89,107.667
452,4598910,8130.35,107.687
453,4595710,8131.82,107.706
454,4592510,8133.29,107.726
455,4589310,8134.76,107.745
456,4586110,8136.23,107.765
457,4582910,8137.7,107.784
458,4579710,8139.16,107.803
459,4576500,8140.63,107.823
460,4573300,8142.1,107.842
461,4570100,8143.57,107.862
462,4568740,8145.04,107.881
463,4567730,8146.5,107.901
464,4566730,8147.97,107.92
465,4565720,8149.44,107.94
466,4564710,8150.91,107.959
467,4563710,8152.38,107.979
468,4562700,8153.85,107.998
469,4561690,8155.31,108.017
470,4560690,8156.78,108.037
471,4559680,8158.25,108.056
472,4558680,8159.72,108.076
473,4557670,8161.19,108.095
474,4556660,8162.65,108.115
475,4555660,8164.12,108.134
476,4554650,8165.59,108.154
477,4553640,8167.06,108.173
478,4552640,8168.53,108.192
479,4551630,8169.99,108.212
480,4550630,8171.46,108.231
481,4549620,8172.93,108.251
482,4548610,8174.4,108.27
483,4547610,8175.87,108.29
484,4546600,8177.34,108.309
485,4545590,8178.8,108.329
486,4544590,8180.27,108.348
487,4544170,8181.74,108.367
488,4543910,8183.21,108.387
489,4543650,8184.68,108.406
490,4543390,8186.14,108.426
491,4543130,8187.61,108.445
492,4542870,8189.08,108.465
493,4542610,8190.55,108.484
494,4542360,8192.02,108.504
495,4542100,8193.48,108.523
496,4541840,8194.95,108.542
497,4541580,8196.42,108.562
498,4541320,8197.89,108.581
499,4541060,8199.36,108.601
500,4540800,8200.83,108.62
501,4540540,8202.29,108.64
502,4540280,8203.76,108.659
503,4540020,8205.23,108.679
504,4539760,8206.7,108.698
505,4539500,8208.17,108.717
506,4539240,8209.63,108.737
507,4538980,8211.1,108.756
508,4538720,8212.57,108.776
509,4538460,8214.04,108.795
510,4538360,8215.51,108.815
511,4538340,8216.97,108.834
512,4538320,8218.44,108.854
513,4538300,8219.91,108.873
514,4538270,8221.38,108.892
515,4538250,8222.85,108.912
516,4538230,8224.32,108.931
517,4538210,8225.78,108.951
518,4538180,8227.25,108.97
519,4538160,8228.72,108.99
520,4538140,8230.19,109.009
521,4538120,8231.66,109.029
522,4538090,8233.12,109.048
523,4538070,8234.59,109.067
524,4538050,8236.06,109.087
525,4538030,8237.53,109.106
526,4538000,8239,109.126
527,4537980,8240.47,109.145
528,4537960,8241.93,109.165
529,4537940,8243.4,109.184
530,4537910,8244.87,109.204
531,4537890,8246.34,109.223
532,4537870,8247.81,109.242
533,4537850,8249.27,109.262
534,4537830,8250.74,109.281
535,4537810,8252.21,109.301
536,4537790,8253.68,109.32
537,4537770,8255.15,109.34
538,4537750,8256.61,109.359
539,4537730,8258.08,109.379
540,4537720,8259.55,109.398
541,4537700,8261.02,109.417
542,4537680,8262.49,109.437
543,4537660,8263.96,109.456
544,4537640,8265.42,109.476
545,4537620,8266.89,109.495
546,4537600,8268.36,109.515
547,4537580,8269.83,109.534
548,4537560,8271.3,109.554
549,4537540,8272.76,109.573
550,4537530,8274.23,109.592
551,4537510,8275.7,109.612
552,4537490,8277.17,109.631
553,4537470,8278.64,109.651
554,4537450,8280.1,109.67
555,4537430,8281.57,109.69
556,4537420,8283.04,109.709
557,4537410,8284.51,109.729
558,4537400,8285.98,109.748
559,4537390,8287.45,109.767
560,4537380,8288.91,109.787
561,4537370,8290.38,109.806
562,4537360,8291.85,109.826
563,4537350,8293.32,109.845
564,4537340,8294.79,109.865
565,4537330,8296.25,109.884
566,4537320,8297.72,109.904
567,4537310,8299.19,109.923
568,4537300,8300.66,109.942
569,4537290,8302.13,109.962
570,4537280,8303.59,109.981
571,4537270,8305.06,110.001
572,4537260,8306.53,110.02
573,4537250,8308,110.04
574,4537240,8309.47,110.059
575,4537230,8310.94,110.079
576,4537220,8312.4,110.098
577,4537210,8313.87,110.118
578,4537200,8315.34,110.137
579,4537190,8316.81,110.156
580,4537180,8318.28,110.176
581,4537180,8319.74,110.195
582,4537170,8321.21,110.215
583,4537170,8322.68,110.234
584,4537160,8324.15,110.254
585,4537160,8325.62,110.273
586,4537150,8327.09,110.293
587,4537150,8328.55,110.312
588,4537140,8330.02,110.331
589,4537140,8331.49,110.351
590,4537130,8332.96,110.37
591,4537130,8334.43,110.39
592,4537120,8335.89,110.409
593,4537120,8337.36,110.429
594,4537110,8338.83,110.448
595,4537100,8340.3,110.468
596,4537100,8341.77,110.487
597,4537090,8343.23,110.506
598,4537090,8344.7,110.526
599,4537080,8346.17,110.545
600,4537080,8347.64,110.565
601,4537070,8349.11,110.584
602,4537070,8350.58,110.604
603,4537050,8352.04,110.623
604,4537040,8353.51,110.643
605,4537020,8354.98,110.662
606,4537010,8356.45,110.681
607,4536990,8357.92,110.701
608,4536970,8359.38,110.72
609,4536960,8360.85,110.74
610,4536940,8362.32,110.759
611,4536930,8363.79,110.779
612,4536910,8365.26,110.798
613,4536900,8366.72,110.818
614,4536880,8368.19,110.837
615,4536870,8369.66,110.856
616,4536850,8371.13,110.876
617,4536840,8372.6,110.895
618,4536820,8374.07,110.915
619,4536810,8375.53,110.934
620,4536790,8377,110.954
621,4536780,8378.47,110.973
622,4536760,8379.94,110.993
623,4536750,8381.41,111.012
624,4536730,8382.87,111.031
625,4536720,8384.34,111.051
626,4536710,8385.81,111.07
627,4536700,8387.28,111.09
628,4536690,8388.75,111.109
629,4536680,8390.21,111.129
630,4536670,8391.68,111.148
631,4536660,8393.15,111.168
632,4536650,8394.62,111.187
633,4536640,8396.09,111.206
634,4536620,8397.56,111.226
635,4536610,8399.02,111.245
636,4536600,8400.49,111.265
637,4536590,8401.96,111.284
638,4536580,8403.43,111.304
639,4536570,8404.9,111.323
640,4536560,8406.36,111.343
641,4536550,8407.83,111.362
642,4536540,8409.3,111.381
643,4536530,8410.77,111.401
644,4536520,8412.24,111.42
645,4536510,8413.71,111.44
646,4536500,8415.17,111.459
647,4536490,8416.64,111.479
648,4536480,8418.11,111.498
649,4536470,8419.58,111.518
650,4536470,8421.05,111.537
651,4536460,8422.51,111.556
652,4536460,8423.98,111.576
653,4536450,8425.45,111.595
654,4536450,8426.92,111.615
655,4536440,8428.39,111.634
656,4536440,8429.85,111.654
657,4536430,8431.32,111.673
658,4536430,8432.79,111.693
659,4536420,8434.26,111.712
660,4536420,8435.73,111.731
661,4536410,8437.2,111.751
662,4536410,8438.66,111.77
663,4536400,8440.13,111.79
664,4536400,8441.6,111.809
665,4536390,8443.07,111.829
666,4536390,8444.54,111.848
667,4536380,8446,111.868
668,4536380,8447.47,111.887
669,4536370,8448.94,111.906
670,4536370,8450.41,111.926
671,4536360,8451.88,111.945
672,4536350,8453.34,111.965
673,4536330,8454.81,111.984
674,4536320,8456.28,112.004
675,4536300,8457.75,112.023
676,4536280,8459.22,112.043
677,4536270,8460.69,112.062
678,4536250,8462.15,112.082
679,4536240,8463.62,112.101
680,4536220,8465.09,112.12
681,4536210,8466.56,112.14
682,4536190,8468.03,112.159
683,4536180,8469.49,112.179
684,4536160,8470.96,112.198
685,4536150,8472.43,112.218
686,4536130,8473.9,112.237
687,4536120,8475.37,112.257
688,4536100,8476.83,112.276
689,4536090,8478.3,112.295
690,4536070,8479.77,112.315
691,4536060,8481.24,112.334
692,4536040,8482.71,112.354
693,4536030,8484.18,112.373
694,4536010,8485.64,112.393
695,4536000,8487.11,112.412
696,4535990,8488.58,112.432
697,4535980,8490.05,112.451
698,4535970,8491.52,112.47
699,4535960,8492.98,112.49
700,4535950,8494.45,112.509
701,4535940,8495.92,112.529
702,4535930,8497.39,112.548
703,4535920,8498.86,112.568
704,4535910,8500.33,112.587
705,4535900,8501.79,112.607
706,4535890,8503.26,112.626
707,4535880,8504.73,112.645
708,4535870,8506.2,112.665
709,4535860,8507.67,112.684
710,4535850,8509.13,112.704
711,4535840,8510.6,112.723
712,4535830,8512.07,112.743
713,4535820,8513.54,112.762
714,4535810,8515.01,112.782
715,4535800,8516.47,112.801
716,4535790,8517.94,112.82
717,4535780,8519.41,112.84
718,4535780,8520.88,112.859
719,4535770,8522.35,112.879
720,4535770,8523.82,112.898
721,4535760,8525.28,112.918
722,4535760,8526.75,112.937
723,4535750,8528.22,112.957
724,4535740,8529.69,112.976
725,4535740,8531.16,112.995
726,4535730,8532.62,113.015
727,4535730,8534.09,113.034
728,4535720,8535.56,113.054
729,4535720,8537.03,113.073
730,4535710,8538.5,113.093
731,4535710,8539.96,113.112
732,4535700,8541.43,113.132
733,4535700,8542.9,113.151
734,4535690,8544.37,113.17
735,4535690,8545.84,113.19
736,4535680,8547.31,113.209
737,4535680,8548.77,113.229
738,4535670,8550.24,113.248
739,4535670,8551.71,113.268
740,4535660,8553.18,113.287
741,4535650,8554.65,113.307
742,4535640,8556.11,113.326
